fold_id,horizon,task_type,threshold_mode,threshold_value,vol_k,accuracy,balanced_accuracy,train_size,test_size,train_start,train_end,test_start,test_end,precision,recall,f1,roc_auc,positive_rate_true,positive_rate_pred,model,total_return,annual_return,annual_volatility,sharpe,max_drawdown,trades,turnover,avg_position,exposure_rate,no_trade_rate,non_overlap_total_return,non_overlap_annual_return,non_overlap_sharpe,non_overlap_max_drawdown,non_overlap_trades,non_overlap_n_periods,macro_precision,macro_recall,macro_f1,weighted_f1,class_-1_f1,class_0_f1,class_1_f1,pred_down_rate,pred_neutral_rate,pred_up_rate
0,1,binary,fixed,0.0,,0.5476,0.5,500,126,2015-03-30,2017-03-22,2017-03-23,2017-09-20,0.5476,1.0,0.7077,0.5,0.5476,1.0,DummyMostFrequent,0.0756,0.1484,0.0725,2.0467,-0.0208,1,0.0079,1.0,1.0,0.0,0.0756,0.1484,2.0467,-0.0208,1,126,,,,,,,,,,
0,1,binary,fixed,0.0,,0.5079,0.5034,500,126,2015-03-30,2017-03-22,2017-03-23,2017-09-20,0.5507,0.5507,0.5507,0.5034,0.5476,0.5476,DummyStratified,0.0277,0.0561,0.0532,1.0555,-0.0245,57,0.4524,0.5476,0.5476,0.4524,0.0277,0.0561,1.0555,-0.0245,57,126,,,,,,,,,,
0,1,binary,fixed,0.0,,0.5476,0.5,500,126,2015-03-30,2017-03-22,2017-03-23,2017-09-20,0.5476,1.0,0.7077,0.4859,0.5476,1.0,LogisticRegression,0.0756,0.1484,0.0725,2.0467,-0.0208,1,0.0079,1.0,1.0,0.0,0.0756,0.1484,2.0467,-0.0208,1,126,,,,,,,,,,
0,1,binary,fixed,0.0,,0.4444,0.4683,500,126,2015-03-30,2017-03-22,2017-03-23,2017-09-20,0.4839,0.2174,0.3,0.5039,0.5476,0.246,RandomForestClassifier,0.0113,0.0231,0.0349,0.6626,-0.0127,36,0.2857,0.246,0.246,0.754,0.0113,0.0231,0.6626,-0.0127,36,126,,,,,,,,,,
0,1,binary,fixed,0.0,,0.5079,0.5248,500,126,2015-03-30,2017-03-22,2017-03-23,2017-09-20,0.5854,0.3478,0.4364,0.5613,0.5476,0.3254,GradientBoostingClassifier,0.0488,0.0961,0.038,2.53,-0.017,44,0.3492,0.3254,0.3254,0.6746,0.0488,0.0961,2.53,-0.017,44,126,,,,,,,,,,
1,1,binary,fixed,0.0,,0.5952,0.5,626,126,2015-03-30,2017-09-20,2017-09-21,2018-03-22,0.5952,1.0,0.7463,0.5,0.5952,1.0,DummyMostFrequent,0.0437,0.0948,0.1357,0.6986,-0.101,1,0.0079,1.0,1.0,0.0,0.0437,0.0948,0.6986,-0.101,1,126,,,,,,,,,,
1,1,binary,fixed,0.0,,0.5397,0.5286,626,126,2015-03-30,2017-09-20,2017-09-21,2018-03-22,0.6197,0.5867,0.6027,0.5286,0.5952,0.5635,DummyStratified,0.0156,0.0361,0.1007,0.3587,-0.0627,53,0.4206,0.5635,0.5635,0.4365,0.0156,0.0361,0.3587,-0.0627,53,126,,,,,,,,,,
1,1,binary,fixed,0.0,,0.4524,0.5149,626,126,2015-03-30,2017-09-20,2017-09-21,2018-03-22,0.6364,0.1867,0.2887,0.4369,0.5952,0.1746,LogisticRegression,0.0352,0.0728,0.0853,0.8527,-0.0432,2,0.0159,0.1746,0.1746,0.8254,0.0352,0.0728,0.8527,-0.0432,2,126,,,,,,,,,,
1,1,binary,fixed,0.0,,0.4921,0.4886,626,126,2015-03-30,2017-09-20,2017-09-21,2018-03-22,0.5846,0.5067,0.5429,0.4852,0.5952,0.5159,RandomForestClassifier,-0.0621,-0.1204,0.1234,-0.9754,-0.1258,45,0.3571,0.5159,0.5159,0.4841,-0.0621,-0.1204,-0.9754,-0.1258,45,126,,,,,,,,,,
1,1,binary,fixed,0.0,,0.4683,0.5063,626,126,2015-03-30,2017-09-20,2017-09-21,2018-03-22,0.6053,0.3067,0.4071,0.4897,0.5952,0.3016,GradientBoostingClassifier,-0.0343,-0.0653,0.0933,-0.6993,-0.087,46,0.3651,0.3016,0.3016,0.6984,-0.0343,-0.0653,-0.6993,-0.087,46,126,,,,,,,,,,
