model,horizon,task_type,threshold_mode,n_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,positive_rate_true_mean,positive_rate_true_std,positive_rate_pred_mean,positive_rate_pred_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,class_-1_f1_mean,class_-1_f1_std,class_0_f1_mean,class_0_f1_std,class_1_f1_mean,class_1_f1_std,pred_down_rate_mean,pred_down_rate_std,pred_neutral_rate_mean,pred_neutral_rate_std,pred_up_rate_mean,pred_up_rate_std,total_return_mean,total_return_std,annual_return_mean,annual_return_std,annual_volatility_mean,annual_volatility_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,trades_mean,trades_std,turnover_mean,turnover_std,avg_position_mean,avg_position_std,exposure_rate_mean,exposure_rate_std,no_trade_rate_mean,no_trade_rate_std,non_overlap_total_return_mean,non_overlap_total_return_std,non_overlap_annual_return_mean,non_overlap_annual_return_std,non_overlap_sharpe_mean,non_overlap_sharpe_std,non_overlap_max_drawdown_mean,non_overlap_max_drawdown_std,non_overlap_trades_mean,non_overlap_trades_std,non_overlap_n_periods_mean,non_overlap_n_periods_std
DummyMostFrequent,1,binary,fixed,17,0.5556,0.0463,0.5,0.0,0.5556,0.0463,1.0,0.0,0.7132,0.0392,0.5,0.0,0.5556,0.0463,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0792,0.1298,0.156,0.2421,0.1728,0.0756,1.2061,1.3611,-0.1056,0.0778,1.0,0.0,0.0079,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0792,0.1298,0.156,0.2421,1.2061,1.3611,-0.1056,0.0778,1.0,0.0,126.0,0.0
DummyMostFrequent,1,three_class,fixed,17,0.4902,0.0422,0.3333,0.0,,,,,,,,,,,,,0.1634,0.0141,0.3333,0.0,0.219,0.0126,0.3235,0.0466,0.0,0.0,0.0,0.0,0.6569,0.0377,0.0,0.0,0.0,0.0,1.0,0.0,0.0792,0.1298,0.156,0.2421,0.1728,0.0756,1.2061,1.3611,-0.1056,0.0778,1.0,0.0,0.0079,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0792,0.1298,0.156,0.2421,1.2061,1.3611,-0.1056,0.0778,1.0,0.0,126.0,0.0
DummyMostFrequent,1,three_class,volatility_adjusted,17,0.4304,0.0534,0.3333,0.0,,,,,,,,,,,,,0.1435,0.0178,0.3333,0.0,0.2,0.0168,0.2608,0.0565,0.0,0.0,0.6001,0.0505,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0
DummyMostFrequent,5,binary,fixed,17,0.6237,0.0841,0.5,0.0,0.6237,0.0841,1.0,0.0,0.7651,0.0655,0.5,0.0,0.6237,0.0841,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0.6498,0.8776,0.1544,0.2371,0.1567,0.0645,1.3541,1.4699,-0.3277,0.2052,1.0,0.0,0.0079,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0826,0.1381,0.1528,0.2524,1.3121,1.5603,-0.088,0.0704,1.0,0.0,26.0,0.0
DummyMostFrequent,5,three_class,fixed,17,0.5485,0.0838,0.3333,0.0,,,,,,,,,,,,,0.1828,0.0279,0.3333,0.0,0.235,0.0237,0.3922,0.0967,0.0,0.0,0.0,0.0,0.7049,0.071,0.0,0.0,0.0,0.0,1.0,0.0,0.6498,0.8776,0.1544,0.2371,0.1567,0.0645,1.3541,1.4699,-0.3277,0.2052,1.0,0.0,0.0079,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0826,0.1381,0.1528,0.2524,1.3121,1.5603,-0.088,0.0704,1.0,0.0,26.0,0.0
DummyMostFrequent,5,three_class,volatility_adjusted,17,0.3749,0.0673,0.3333,0.0,,,,,,,,,,,,,0.125,0.0224,0.3333,0.0,0.1807,0.024,0.2078,0.0629,0.0,0.0,0.5137,0.1499,0.0283,0.1169,0.0,0.0,0.9412,0.2425,0.0588,0.2425,-0.0108,0.0445,-0.0041,0.0169,0.0088,0.0364,-0.0272,0.1123,-0.0251,0.1035,0.0588,0.2425,0.0005,0.0019,0.0588,0.2425,0.0588,0.2425,0.9412,0.2425,-0.0066,0.0271,-0.0127,0.0522,-0.0755,0.3113,-0.0099,0.0409,0.0588,0.2425,26.0,0.0
DummyMostFrequent,10,binary,fixed,17,0.6718,0.126,0.5,0.0,0.6718,0.126,1.0,0.0,0.797,0.0952,0.5,0.0,0.6718,0.126,1.0,0.0,,,,,,,,,,,,,,,,,,,,,2.6079,4.0048,0.1536,0.2395,0.1477,0.0658,1.5015,1.6777,-0.4549,0.2621,1.0,0.0,0.0079,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0826,0.1382,0.1519,0.2485,1.62,1.8408,-0.0744,0.0707,1.0,0.0,13.0,0.0
DummyMostFrequent,10,three_class,fixed,17,0.5999,0.118,0.3333,0.0,,,,,,,,,,,,,0.2,0.0393,0.3333,0.0,0.2478,0.032,0.4565,0.1405,0.0,0.0,0.0,0.0,0.7433,0.0961,0.0,0.0,0.0,0.0,1.0,0.0,2.6079,4.0048,0.1536,0.2395,0.1477,0.0658,1.5015,1.6777,-0.4549,0.2621,1.0,0.0,0.0079,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0826,0.1382,0.1519,0.2485,1.62,1.8408,-0.0744,0.0707,1.0,0.0,13.0,0.0
DummyMostFrequent,10,three_class,volatility_adjusted,17,0.3996,0.113,0.3333,0.0,,,,,,,,,,,,,0.1332,0.0377,0.3333,0.0,0.1874,0.0392,0.2371,0.1098,0.0,0.0,0.1776,0.2575,0.3845,0.3044,0.0,0.0,0.3529,0.4926,0.6471,0.4926,2.3933,4.0895,0.1308,0.2357,0.0943,0.0793,1.0946,1.649,-0.2825,0.279,0.6471,0.4926,0.0051,0.0039,0.6471,0.4926,0.6471,0.4926,0.3529,0.4926,0.0701,0.1347,0.1255,0.2443,1.1551,1.8338,-0.044,0.0571,0.6471,0.4926,13.0,0.0
DummyMostFrequent,20,binary,fixed,17,0.705,0.1765,0.5,0.0,0.705,0.1765,1.0,0.0,0.814,0.1344,0.5,0.0,0.705,0.1765,1.0,0.0,,,,,,,,,,,,,,,,,,,,,21.1078,39.9172,0.1541,0.2232,0.1359,0.0736,1.7104,1.8368,-0.5178,0.3229,1.0,0.0,0.0079,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0929,0.1437,0.1594,0.2315,2.0536,2.5565,-0.0562,0.0677,1.0,0.0,7.0,0.0
