model,fold_id,threshold,total_return,annual_return,annual_volatility,sharpe,max_drawdown,trades,turnover,avg_position,exposure_rate,no_trade_rate
DummyMostFrequent,0,0.0005,0.0756,0.1484,0.0725,2.0467,-0.0208,1,0.0079,1.0,1.0,0.0
DummyStratified,0,0.0005,-0.0181,-0.035,0.0563,-0.6218,-0.0401,63,0.5,0.4841,0.4841,0.5159
LogisticRegression,0,0.0005,0.0756,0.1484,0.0725,2.0467,-0.0208,1,0.0079,1.0,1.0,0.0
RandomForestClassifier,0,0.0005,0.009,0.0187,0.0412,0.4544,-0.0162,41,0.3254,0.2857,0.2857,0.7143
GradientBoostingClassifier,0,0.0005,0.0294,0.0584,0.0318,1.8385,-0.0124,22,0.1746,0.1667,0.1667,0.8333
DummyMostFrequent,1,0.0005,0.0437,0.0948,0.1357,0.6986,-0.101,1,0.0079,1.0,1.0,0.0
DummyStratified,1,0.0005,0.0464,0.0953,0.0961,0.9916,-0.0489,64,0.5079,0.4762,0.4762,0.5238
LogisticRegression,1,0.0005,0.0352,0.0728,0.0853,0.8527,-0.0432,2,0.0159,0.1746,0.1746,0.8254
RandomForestClassifier,1,0.0005,-0.0616,-0.1193,0.1246,-0.9571,-0.0866,19,0.1508,0.373,0.373,0.627
GradientBoostingClassifier,1,0.0005,-0.0852,-0.1737,0.0919,-1.8896,-0.0991,39,0.3095,0.246,0.246,0.754
DummyMostFrequent,2,0.0005,0.1412,0.2704,0.1109,2.4382,-0.03,1,0.0079,1.0,1.0,0.0
DummyStratified,2,0.0005,0.0204,0.0422,0.0617,0.6841,-0.0476,64,0.5079,0.4762,0.4762,0.5238
LogisticRegression,2,0.0005,0.0106,0.0222,0.0493,0.4508,-0.0223,2,0.0159,0.0952,0.0952,0.9048
RandomForestClassifier,2,0.0005,0.0928,0.1824,0.0992,1.8392,-0.0288,28,0.2222,0.4762,0.4762,0.5238
GradientBoostingClassifier,2,0.0005,0.0809,0.1602,0.0962,1.6656,-0.03,44,0.3492,0.6667,0.6667,0.3333
DummyMostFrequent,3,0.0005,-0.0278,-0.0378,0.193,-0.1959,-0.192,1,0.0079,1.0,1.0,0.0
DummyStratified,3,0.0005,0.0092,0.0284,0.1417,0.2004,-0.0606,64,0.5079,0.4762,0.4762,0.5238
LogisticRegression,3,0.0005,-0.1343,-0.2838,0.0956,-2.9691,-0.1343,8,0.0635,0.1984,0.1984,0.8016
RandomForestClassifier,3,0.0005,-0.0943,-0.1836,0.1698,-1.0813,-0.1479,22,0.1746,0.5714,0.5714,0.4286
GradientBoostingClassifier,3,0.0005,-0.0574,-0.1045,0.1655,-0.6316,-0.1398,48,0.381,0.6032,0.6032,0.3968
DummyMostFrequent,4,0.0005,0.0619,0.1293,0.1344,0.9621,-0.0662,1,0.0079,1.0,1.0,0.0
DummyStratified,4,0.0005,0.068,0.1347,0.0798,1.6873,-0.0406,64,0.5079,0.4762,0.4762,0.5238
LogisticRegression,4,0.0005,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
RandomForestClassifier,4,0.0005,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
GradientBoostingClassifier,4,0.0005,0.0263,0.0523,0.029,1.8056,-0.011,16,0.127,0.1032,0.1032,0.8968
DummyMostFrequent,5,0.0005,-0.1573,-0.2709,0.3742,-0.7239,-0.3372,1,0.0079,1.0,1.0,0.0
DummyStratified,5,0.0005,0.3221,0.5885,0.2464,2.3882,-0.0535,64,0.5079,0.4762,0.4762,0.5238
