fold_id,threshold,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,class_-1_precision,class_-1_recall,class_-1_f1,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,true_down_rate,true_neutral_rate,true_up_rate,pred_down_rate,pred_neutral_rate,pred_up_rate,train_size,test_size,train_start,train_end,test_start,test_end,model,total_return,annual_return,annual_volatility,sharpe,max_drawdown,trades,turnover,avg_position,exposure_rate,no_trade_rate
0,0.0005,0.4762,0.3333,0.1587,0.3333,0.2151,0.3072,0.0,0.0,0.0,0.0,0.0,0.0,0.4762,1.0,0.6452,0.3571,0.1667,0.4762,0.0,0.0,1.0,500,126,2015-03-30,2017-03-22,2017-03-23,2017-09-20,DummyMostFrequent,0.0756,0.1484,0.0725,2.0467,-0.0208,1,0.0079,1.0,1.0,0.0
0,0.0005,0.4524,0.3733,0.3552,0.3733,0.358,0.4319,0.4464,0.5556,0.495,0.1111,0.0476,0.0667,0.5082,0.5167,0.5124,0.3571,0.1667,0.4762,0.4444,0.0714,0.4841,500,126,2015-03-30,2017-03-22,2017-03-23,2017-09-20,DummyStratified,-0.0181,-0.035,0.0563,-0.6218,-0.0401,63,0.5,0.4841,0.4841,0.5159
0,0.0005,0.4762,0.3333,0.1587,0.3333,0.2151,0.3072,0.0,0.0,0.0,0.0,0.0,0.0,0.4762,1.0,0.6452,0.3571,0.1667,0.4762,0.0,0.0,1.0,500,126,2015-03-30,2017-03-22,2017-03-23,2017-09-20,LogisticRegression,0.0756,0.1484,0.0725,2.0467,-0.0208,1,0.0079,1.0,1.0,0.0
0,0.0005,0.3968,0.337,0.2879,0.337,0.2854,0.3504,0.3636,0.7111,0.4812,0.0,0.0,0.0,0.5,0.3,0.375,0.3571,0.1667,0.4762,0.6984,0.0159,0.2857,500,126,2015-03-30,2017-03-22,2017-03-23,2017-09-20,RandomForestClassifier,0.009,0.0187,0.0412,0.4544,-0.0162,41,0.3254,0.2857,0.2857,0.7143
0,0.0005,0.3889,0.3407,0.3079,0.3407,0.2632,0.3173,0.3524,0.8222,0.4933,0.0,0.0,0.0,0.5714,0.2,0.2963,0.3571,0.1667,0.4762,0.8333,0.0,0.1667,500,126,2015-03-30,2017-03-22,2017-03-23,2017-09-20,GradientBoostingClassifier,0.0294,0.0584,0.0318,1.8385,-0.0124,22,0.1746,0.1667,0.1667,0.8333
1,0.0005,0.5317,0.3333,0.1772,0.3333,0.2314,0.3692,0.0,0.0,0.0,0.0,0.0,0.0,0.5317,1.0,0.6943,0.3571,0.1111,0.5317,0.0,0.0,1.0,626,126,2015-03-30,2017-09-20,2017-09-21,2018-03-22,DummyMostFrequent,0.0437,0.0948,0.1357,0.6986,-0.101,1,0.0079,1.0,1.0,0.0
1,0.0005,0.4841,0.4159,0.4247,0.4159,0.4171,0.484,0.4182,0.5111,0.46,0.2727,0.2143,0.24,0.5833,0.5224,0.5512,0.3571,0.1111,0.5317,0.4365,0.0873,0.4762,626,126,2015-03-30,2017-09-20,2017-09-21,2018-03-22,DummyStratified,0.0464,0.0953,0.0961,0.9916,-0.0489,64,0.5079,0.4762,0.4762,0.5238
1,0.0005,0.1984,0.3504,0.2354,0.3504,0.1652,0.1779,0.0,0.0,0.0,0.1154,0.8571,0.2034,0.5909,0.194,0.2921,0.3571,0.1111,0.5317,0.0,0.8254,0.1746,626,126,2015-03-30,2017-09-20,2017-09-21,2018-03-22,LogisticRegression,0.0352,0.0728,0.0853,0.8527,-0.0432,2,0.0159,0.1746,0.1746,0.8254
1,0.0005,0.373,0.2922,0.2758,0.2922,0.2724,0.3623,0.338,0.5333,0.4138,0.0,0.0,0.0,0.4894,0.3433,0.4035,0.3571,0.1111,0.5317,0.5635,0.0635,0.373,626,126,2015-03-30,2017-09-20,2017-09-21,2018-03-22,RandomForestClassifier,-0.0616,-0.1193,0.1246,-0.9571,-0.0866,19,0.1508,0.373,0.373,0.627
1,0.0005,0.2857,0.2654,0.2722,0.2654,0.2453,0.2853,0.274,0.4444,0.339,0.0909,0.1429,0.1111,0.4516,0.209,0.2857,0.3571,0.1111,0.5317,0.5794,0.1746,0.246,626,126,2015-03-30,2017-09-20,2017-09-21,2018-03-22,GradientBoostingClassifier,-0.0852,-0.1737,0.0919,-1.8896,-0.0991,39,0.3095,0.246,0.246,0.754
