model,threshold,n_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,class_-1_precision_mean,class_-1_precision_std,class_-1_recall_mean,class_-1_recall_std,class_-1_f1_mean,class_-1_f1_std,class_0_precision_mean,class_0_precision_std,class_0_recall_mean,class_0_recall_std,class_0_f1_mean,class_0_f1_std,class_1_precision_mean,class_1_precision_std,class_1_recall_mean,class_1_recall_std,class_1_f1_mean,class_1_f1_std,true_down_rate_mean,true_down_rate_std,true_neutral_rate_mean,true_neutral_rate_std,true_up_rate_mean,true_up_rate_std,pred_down_rate_mean,pred_down_rate_std,pred_neutral_rate_mean,pred_neutral_rate_std,pred_up_rate_mean,pred_up_rate_std,total_return_mean,total_return_std,annual_return_mean,annual_return_std,annual_volatility_mean,annual_volatility_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,trades_mean,trades_std,turnover_mean,turnover_std,avg_position_mean,avg_position_std,exposure_rate_mean,exposure_rate_std,no_trade_rate_mean,no_trade_rate_std
DummyMostFrequent,0.0005,17,0.5191,0.0444,0.3333,0.0,0.173,0.0148,0.3333,0.0,0.2275,0.0129,0.3559,0.0502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5191,0.0444,1.0,0.0,0.6824,0.0386,0.4113,0.0553,0.0696,0.0349,0.5191,0.0444,0.0,0.0,0.0,0.0,1.0,0.0,0.0792,0.1298,0.156,0.2421,0.1728,0.0756,1.2061,1.3611,-0.1056,0.0778,1.0,0.0,0.0079,0.0,1.0,0.0,1.0,0.0,0.0,0.0
DummyMostFrequent,0.001,17,0.4902,0.0422,0.3333,0.0,0.1634,0.0141,0.3333,0.0,0.219,0.0126,0.3235,0.0466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4902,0.0422,1.0,0.0,0.6569,0.0377,0.3847,0.0608,0.1251,0.0611,0.4902,0.0422,0.0,0.0,0.0,0.0,1.0,0.0,0.0792,0.1298,0.156,0.2421,0.1728,0.0756,1.2061,1.3611,-0.1056,0.0778,1.0,0.0,0.0079,0.0,1.0,0.0,1.0,0.0,0.0,0.0
DummyMostFrequent,0.002,17,0.4314,0.0578,0.3333,0.0,0.1438,0.0193,0.3333,0.0,0.2002,0.019,0.2622,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4314,0.0578,1.0,0.0,0.6006,0.057,0.3235,0.0761,0.2451,0.1076,0.4314,0.0578,0.0,0.0,0.0,0.0,1.0,0.0,0.0792,0.1298,0.156,0.2421,0.1728,0.0756,1.2061,1.3611,-0.1056,0.0778,1.0,0.0,0.0079,0.0,1.0,0.0,1.0,0.0,0.0,0.0
DummyStratified,0.0005,17,0.4505,0.0407,0.3554,0.0446,0.3521,0.0421,0.3554,0.0446,0.3505,0.0417,0.454,0.0413,0.4252,0.0532,0.4555,0.0594,0.4381,0.0486,0.1021,0.1045,0.1169,0.1131,0.1035,0.0991,0.5291,0.0735,0.4939,0.046,0.5099,0.0559,0.4113,0.0553,0.0696,0.0349,0.5191,0.0444,0.437,0.0019,0.0775,0.0077,0.4855,0.0076,0.0313,0.1086,0.0589,0.2143,0.115,0.0483,0.5997,1.4783,-0.0712,0.0502,63.9412,0.2425,0.5074,0.0019,0.4855,0.0076,0.4855,0.0076,0.5145,0.0076
DummyStratified,0.001,17,0.3996,0.0421,0.3346,0.0462,0.3398,0.0534,0.3346,0.0462,0.3321,0.0428,0.4018,0.0465,0.3681,0.08,0.3936,0.0547,0.3779,0.0597,0.1702,0.1633,0.1427,0.098,0.145,0.1006,0.4811,0.0653,0.4675,0.0407,0.4735,0.05,0.3847,0.0608,0.1251,0.0611,0.4902,0.0422,0.4113,0.0085,0.1116,0.0114,0.4771,0.0092,-0.0108,0.0952,-0.0224,0.1854,0.115,0.0473,-0.0341,1.3571,-0.0872,0.0625,62.1176,0.8575,0.493,0.0068,0.4771,0.0092,0.4771,0.0092,0.5229,0.0092
DummyStratified,0.002,17,0.3375,0.0399,0.3153,0.0428,0.318,0.0411,0.3153,0.0428,0.3112,0.0394,0.3429,0.0436,0.2958,0.1158,0.2713,0.0547,0.2788,0.0779,0.2373,0.1447,0.2441,0.0957,0.2308,0.1058,0.4209,0.0719,0.4307,0.0397,0.4241,0.0521,0.3235,0.0761,0.2451,0.1076,0.4314,0.0578,0.3025,0.0161,0.2554,0.0205,0.4421,0.0111,-0.0154,0.0612,-0.0269,0.1243,0.1149,0.0544,-0.0222,0.8653,-0.0864,0.0614,59.4118,1.7342,0.4715,0.0138,0.4421,0.0111,0.4421,0.0111,0.5579,0.0111
GradientBoostingClassifier,0.0005,17,0.4276,0.0746,0.3338,0.0491,0.3281,0.0539,0.3338,0.0491,0.3026,0.0473,0.4047,0.0715,0.3992,0.0698,0.518,0.2012,0.4271,0.0865,0.0364,0.0648,0.0546,0.0969,0.0377,0.0611,0.5488,0.1125,0.4288,0.2096,0.443,0.1221,0.4113,0.0553,0.0696,0.0349,0.5191,0.0444,0.5308,0.1867,0.0481,0.0982,0.4211,0.216,0.013,0.0996,0.0261,0.1906,0.1179,0.069,0.6377,1.6025,-0.0748,0.0598,29.5882,12.6543,0.2348,0.1004,0.4211,0.216,0.4211,0.216,0.5789,0.216
GradientBoostingClassifier,0.001,17,0.4057,0.0865,0.3364,0.0403,0.3255,0.0555,0.3364,0.0403,0.2976,0.0482,0.3723,0.0863,0.3899,0.0991,0.5194,0.1904,0.4149,0.0832,0.0764,0.1056,0.0669,0.114,0.0562,0.076,0.5102,0.094,0.4229,0.2511,0.4217,0.1478,0.3847,0.0608,0.1251,0.0611,0.4902,0.0422,0.5233,0.1903,0.0686,0.1235,0.408,0.2339,0.0231,0.0982,0.0462,0.1935,0.1186,0.0719,0.6595,1.4556,-0.0717,0.0588,29.1765,11.0637,0.2316,0.0878,0.408,0.2339,0.408,0.2339,0.592,0.2339
GradientBoostingClassifier,0.002,17,0.3651,0.0435,0.3486,0.0349,0.3637,0.0605,0.3486,0.0349,0.3033,0.037,0.3298,0.0412,0.3148,0.0845,0.4624,0.2504,0.3359,0.1072,0.2988,0.1686,0.1775,0.1647,0.1923,0.1429,0.4775,0.1407,0.4059,0.2658,0.3816,0.1389,0.3235,0.0761,0.2451,0.1076,0.4314,0.0578,0.4612,0.2327,0.1489,0.1507,0.3898,0.2608,0.0104,0.0955,0.0225,0.1863,0.1245,0.075,0.5485,1.4614,-0.0802,0.0702,23.8824,9.2997,0.1896,0.0738,0.3898,0.2608,0.3898,0.2608,0.6102,0.2608
LogisticRegression,0.0005,17,0.2642,0.1532,0.3403,0.0387,0.1513,0.0801,0.3403,0.0387,0.155,0.0643,0.1819,0.1052,0.188,0.2095,0.3794,0.478,0.238,0.2788,0.0388,0.0398,0.4847,0.4563,0.0713,0.0721,0.2269,0.2553,0.1568,0.2736,0.1556,0.206,0.4113,0.0553,0.0696,0.0349,0.5191,0.0444,0.3828,0.4768,0.4552,0.4277,0.162,0.273,-0.0153,0.0712,-0.0298,0.1416,0.0641,0.0952,-0.0272,1.0552,-0.0477,0.0806,1.4118,2.2655,0.0112,0.018,0.162,0.273,0.162,0.273,0.838,0.273
